2018/02/07,Andrius,a.vaiciekauskas@gmail.com,Kategorija B
2018/02/07,Ashlynn,ashlynnhoffmanPnm@teleosaurs.xyz,Kategorija B
2018/02/07,Gino,ginohuntnrP@teleosaurs.xyz,Kategorija B
2018/02/07,Harrison,harrisonhendricksdrM@teleosaurs.xyz,Kategorija B
2018/02/07,Lee Chambers,leechambersVug@teleosaurs.xyz,Kategorija B
2018/02/07,Edwin,edwinchaseKfJ@teleosaurs.xyz,Kategorija B
2018/02/07,Oscar,oscarmckinneyhue@teleosaurs.xyz,Kategorija B
2018/02/07,Homer,homer@example.com,Kategorija B
2018/02/07,Marge,marge@example.com,Kategorija B Kategorija D
2018/02/07,Bart,bart@example.com,Kategorija A Kategorija B
2018/02/07,Lisa,lisa@example.com,Kategorija B Kategorija C
